SMILES,delta_d,delta_p,delta_h,sol_param
O=[N+]([O-])c1ccc(Br)cc1C(F)(F)F,20,6,4.9,21.44784371
CCOc1ccc(Br)cc1,19.5,7.7,5.3,21.62475433
C#CBr,15.7,9.9,5.6,19.38710912
COc1ccccc1Br,19.8,8.4,6.7,22.5275387
Brc1ccccc1,20.5,5.5,4.1,21.61735414
N#Cc1ccc(Br)cc1,20.4,9.3,5.8,23.157936
O=C(Cl)c1ccc(Br)cc1,20.2,6.5,5.5,21.92122259
CCC(C)Br,16.3,7.7,4.4,18.55640051
Clc1ccccc1Br,20.3,7.7,4.6,22.19324221
ClCBr,17.3,5.7,3.5,18.54804572
C=CBr,16.1,6.3,2.3,17.44104355
BrC(Br)Br,21.4,4.1,6.1,22.62697505
COCBr,16.9,8.5,7,20.17077093
Brc1cccc2ccccc12,20.3,3.1,4.1,20.94063036
O=[N+]([O-])c1ccc(Br)cc1,20.9,9.9,5.9,23.86692272
C=CC(=C)Br,16.9,6.4,4.7,18.67243958
CCCBr,16.4,7.9,4.8,18.8257802
CC(C)Br,16.1,8.3,4.7,18.71336421
C#CCBr,18.1,6.5,5.3,19.94868417
C=Cc1ccccc1Br,19.5,5.2,5.3,20.86576143
Brc1cccs1,20.1,5.2,4.6,21.26522984
Cc1ccccc1Br,19.3,5,4.2,20.37473926
Cc1ccc(Br)cc1,19.3,6.8,4.1,20.86959511
ClC(Cl)(Cl)Br,18.3,0.8,0,18.31747799
FC(F)(F)Br,9.6,2.4,0,9.895453501
C=C=CC,14.7,1.7,6.2,16.04431363
C=CC=C,14.8,2.8,5.6,16.06984754
C=CC=CCl,15.6,8.5,2,17.87763967
C=C=CCO,16.2,6.6,16.8,24.25365952
C=CC(Cl)=CCl,17,10.7,2.8,20.28127215
C=CC=CC#N,16.2,11.7,5.2,20.64872877
C1OC1C1CO1,18.3,14.4,6.2,24.09751024
CC(=O)C(C)=O,15.7,5.1,6.8,17.85329101
C=CC(=O)OCCCCOC(=O)C=C,16.8,9.1,4.2,19.56246406
CCCC,14.1,0,0,14.1
CC(O)CCO,16.6,10,21.5,28.94494775
OCCCCO,16.6,15.3,21.7,31.31357533
CCCCS,16.3,5.3,4.5,17.72089163
CCCCO,16,5.7,15.8,23.19762919
CCC(C)O,15.8,5.7,14.5,22.18963722
C=CCC,13.2,1.3,3.9,13.82533906
CC=CC,14.7,1.3,4.1,15.31633115
CC=CC,14.6,0,2.9,14.88522758
C=CCC#N,16.2,14.3,5.6,22.32241026
CC=CCOC,15.2,3.4,5,16.35848404
CC=CCOC,15.3,4.4,4.3,16.49060338
CCCCOCC(O)COCC,15.5,6.5,10.2,19.66062054
CCCCOC(C)=O,15.8,3.7,6.3,17.40746966
CCC(C)OC(C)=O,15,3.7,7.6,17.21772343
CC(=O)OC(C)(C)C,15.4,6.2,6.2,17.72117378
CCCCOC(=O)CC(C)=O,16.6,5.8,7.3,19.03917015
C=CC(=O)OCCCC,15.6,6.2,4.9,17.48742405
CC(C)(C)O,15.2,5.1,14.7,21.75178154
CCCCN,16.2,4.5,8,18.61961331
CCCCN,16,20.3,18.4,31.72774811
CCCCOC(=O)c1ccccc1,18.3,5.6,5.5,19.91230775
CCCCOC(=O)CCC,15.6,2.9,5.6,16.82646725
CCCCC1CCCCC1,16.2,0,0.6,16.2111073
CCCCC1CCCC1,16.4,0,1,16.43045952
CCCCOC=O,15.7,6.5,9.2,19.32304324
CCCCOC(C)C,14.8,5.3,5,16.49636324
CCCCOC(=O)C(C)O,15.8,6.5,10.2,19.89798985
C=C(C)C(=O)OCCCC,15.6,6.4,6.6,18.10745703
CCCCCCC(CO)CCCC,16.1,3.6,9.3,18.93832094
CCCCOC(=O)CC,15.7,5.5,5.9,17.65077902
CCCCOC(=O)c1ccccc1O,17.9,4.8,11.7,21.91666033
CCCCCCCCCCCCCCCCCC(=O)OCCCC,14.5,3.7,3.5,15.36847422
CCCCc1cccc(C)c1,17.4,0.1,1,17.42899882
CCCCc1ccccc1,17.4,0.1,1.1,17.43502223
CC1OC(=O)OC1C,18,16.8,3.1,24.81632527
CCC1CO1,16.3,6.2,5.9,18.41032319
CCCCc1ccccc1C,17.6,0.1,1,17.62866983
CCCCc1ccc(C)cc1,17.4,0.1,1,17.42899882
N#CC#CC#N,15.2,16.2,8,23.61101438
CCCC=O,15.6,10.1,6.2,19.59106939
CCCC(N)=O,16.9,13.7,12.3,24.99179865
CCCC(=O)O,14.9,4.1,10.6,18.73979722
CCCC(=O)OC(=O)CCC,16,6.3,7.7,18.84091293
O=C1CCCO1,19,16.6,7.4,26.29296484
CCCC#N,15.3,12.4,5.1,20.34354935
CCCC(=O)Cl,16.8,9.4,4.8,19.8403629
Cn1c(=O)c2c(ncn2C)n(C)c1=O,19.5,10.1,13,25.51979624
O=C1CCCCCO1,19.7,15,7.4,25.84279397
c1ccc2c(c1)[nH]c1ccccc12,21.7,6.4,6.2,23.45826081
O=C=O,15.7,6.3,5.7,17.85133048
S=C=S,20.5,0,0.6,20.50877861
S=C=S,19.9,5.8,0.6,20.73668247
ClC(Cl)(Cl)Cl,17.8,0,0.6,17.81010949
ClC(Cl)(Cl)Cl,16.1,8.3,0,18.11353085
N#CC(=O)C#N,15,6.3,8,18.12980971
CCCCCCC(O)CC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC(O)CCCCCC)OC(=O)CCCCCCCC=CCC(O)CCCCCC,15.9,4.6,12,20.44431461
CCCCCCCCCCCCCCCCO,15.1,3.7,8.1,17.53025955
O=CC(Cl)(Cl)Cl,17.2,7.4,7.6,20.20791924
ClCl,17.3,10,0,19.98224212
O=CCCl,16.2,16.1,9,24.54893073
O=C(O)CCl,17.7,10.4,12.3,23.93198696
CC(=O)c1ccc(Cl)cc1,19.6,7.6,4,21.3990654
OCC=CCl,17.2,10.3,16.5,25.96497641
C=C(Cl)CO,17.1,10.2,16.4,25.79554225
C=CC(=O)OCCl,15.9,7.3,8.5,19.45122104
CCCCCCl,16,6.9,1.9,17.52769238
CC(Cl)[N+](=O)[O-],16.8,13.5,4.7,22.05855843
CCC(Cl)[N+](=O)[O-],16.8,13,4.5,21.71382048
OCCCCl,17.5,5.7,14.7,23.55482965
C=C=CCCl,16.6,8,6.7,19.60739656
CC=CCCl,16.2,7.7,2,18.04799158
CCOc1ccccc1Cl,19.2,8.1,4.4,21.29812198
CCc1ccccc1Cl,18.9,4.9,2.2,19.6484096
CC(C)(C)Cl,15.6,7.6,2,17.46768445
C=C(C)CCl,16.2,5.6,2,17.25688268
CC(C)=CCl,16.1,7.1,4.2,18.09032891
Cc1c(Cl)cccc1[N+](=O)[O-],20.3,9.6,3.8,22.77476674
Cc1ccc(Cl)cc1[N+](=O)[O-],19.9,11.8,3.8,23.44546865
CCOc1ccc(Cl)cc1,19.3,6.3,4.4,20.77354086
Cc1ccc(N)c(Cl)c1,19.7,7.4,8.9,22.84863234
Cc1ccc(Cl)c(O)c1,19,7.7,13.1,24.32899505
NC(=O)CCl,17.6,12.4,12.8,25.04715553
CC(=O)CCl,16.8,9.6,5.5,20.1159141
N#CCCl,17.4,13.6,2,22.17476043
O=C(Cl)CCl,17.5,9.2,5.5,20.52169584
C#CCl,16.2,2.1,2.5,16.5257375
C=C(Cl)C(OC(C)=O)OC(C)=O,16.7,7.3,8.8,20.23907112
Nc1cccc(Cl)c1,20.6,9.9,9.8,24.86785073
COc1ccc(Cl)cc1,19.6,7.8,6.7,22.13345883
O=Cc1ccc(Cl)cc1,19.9,7.2,5.6,21.89086567
Clc1ccccc1,19,4.3,2,19.5829007
N#Cc1ccc(Cl)cc1,19.5,8,4.1,21.47230775
Clc1ccc(C(Cl)(Cl)Cl)cc1,20.3,5.5,3.5,21.32111629
O=C(Cl)c1ccc(Cl)cc1,19.9,6.7,5.1,21.60810033
OCc1ccc(Cl)cc1,19.6,7.5,13,24.68623098
ClCc1cccc(Cl)c1,19.9,9.3,2.6,22.11922241
CCCCCl,16.2,5.5,2,17.22469158
CCC(C)Cl,15.8,7.6,2,17.6465294
O=C1CCCCC1Cl,18.5,13,5.1,23.17886969
ClC1CC1,17.6,7.2,2.2,19.1426226
FC(F)Cl,12.3,6.3,5.7,14.948913
CN(C)Cl,16,7.8,7.9,19.47434209
CC(=O)OCCCl,16.7,9.6,8.8,21.17758249
ClCCc1ccccc1,19.3,6.3,2.2,20.42106755
CCOCCCl,16.3,7.9,4.6,18.68849914
CCSCCCl,17.2,5,6.1,18.92220917
Fc1ccccc1Cl,19.4,8.7,2,21.3553272
ClC(Cl)Cl,17.8,3.1,5.7,18.94571192
CCCCCCCl,16.1,6.2,1.7,17.33608952
ClCOCCl,17.2,4.9,6.6,19.06331556
ClCSCCl,16.6,6.4,2,17.90307236
Clc1cccc2ccccc12,19.9,4.9,2.5,20.64630718
O=[N+]([O-])c1ccc(Cl)cc1,20.4,9.6,4.2,22.93381782
O=[N+]([O-])CCl,17.4,13.5,5.5,22.6993392
Oc1ccccc1Cl,20.3,5.5,13.9,25.21011702
O=[N+]([O-])C(Cl)(Cl)Cl,17.6,6.8,7,20.1246118
C=CC(=C)Cl,16.1,5.4,2.1,17.11081529
C=C(Cl)C=O,17.1,12.9,8.1,22.90043668
CC=CCl,15.3,6.9,2.2,16.92749243
O=CCCCl,17,13.3,8.2,23.08960805
N#CCCCl,17.3,15.9,6.1,24.27570802
C#CCCl,16.7,7.4,2.3,18.41032319
C=Cc1ccc(Cl)cc1,18.7,4.3,3.9,19.58034729
C=Cc1ccccc1Cl,18.7,4.7,3.9,19.67206141
Clc1cccs1,19.2,6.2,8,21.70437744
Sc1ccc(Cl)cc1,20.8,8.6,10.6,24.87890673
Sc1ccccc1Cl,20.2,7,10,23.60169485
Cc1ccc(Cl)cc1,19.1,6.2,2.6,20.24870366
O=CC=Cc1ccccc1,19.4,12.4,6.2,23.84449622
O=C(O)C=Cc1ccccc1,19.1,3.9,10.6,22.18963722
OCC=Cc1ccccc1,19.1,6,13,23.87069333
CC12CCC(CC1)C(C)(C)O2,16.7,4.6,3.4,17.65247858
CC1=CC(=O)OC1=O,19.2,17,11.2,27.98356661
COc1cc(C=CCO)ccc1O,19,7,16.3,25.99403778
O=c1ccc2ccccc2o1,20,12.5,6.7,24.51815654
OCC=Cc1ccc(O)cc1,19.1,7,17.3,26.70393229
Cc1cccc(O)c1,18,5.1,12.9,22.72487624
CC=CC=O,16.2,14.9,7.4,23.22089576
CC=CC(=O)O,16.8,8.7,12,22.40379432
O=C1C=CCO1,19,19.8,9.6,29.07232361
CC=CC#N,16.4,18.8,5.5,25.54701548
N#CN,15.5,27.6,16.8,35.83643397
N#CC#N,15.1,11.8,0,19.1637679
N#CBr,18.3,15.2,0,23.7892833
N#CCl,15.6,14.5,0,21.29812198
O=C1CCC1,18.3,11.4,5.2,22.17859328
O=C1CCCCCCCCC1,16.8,8,4.1,19.053871
O=C1CCCCCC1,17.2,10.6,4.8,20.76631888
C1CCCCC1,16.8,0,0.2,16.80119043
OC1CCCCC1O,17.4,9.8,18.3,27.08671261
O=C1CCCCC1=O,18.6,10.3,8,22.71673392
OC1CCCCC1,17.4,4.1,13.5,22.40133925
O=C1CCCCC1,17.8,6.3,5.1,19.55862981
C1=CCCCC1,17.2,1,5,17.93989967
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,18.3,11,13.8,25.42302106
c1ccc(C2CCCCC2)cc1,18.7,0,1,18.72671888
O=C1CCCN1C1CCCCC1,18.2,6.8,6.5,20.48731315
NC1CCCCC1,17.2,3.1,6.5,18.64671553
ClC1CCCCC1,17.3,5.5,2,18.26307751
O=C1CCCCCCC1,17,9.6,4.5,20.03521899
C1=CCC=C1,17.2,1.9,6.1,18.34829692
C1CCCC1,16.4,0,1.8,16.49848478
O=C1CCCC1,17.9,11.9,5.2,22.11470099
C1=CCCC1,16.7,3.8,1.7,17.21104297
OC1C=CCC1,18.1,7.6,15.6,25.07448903
C1=CC1,17.2,2.4,2,17.48141871
C1CC1,17.6,0,0,17.6
CC(=O)C1CC1,17,11.1,4.6,20.81754068
N#CC1CC1,18.6,16.2,5.7,25.31580534
CC12CCC(CC1=O)C2(C)C,17.8,9.4,4.7,20.67099417
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,20,5.5,3.1,20.97283958
C1CCC2CCCCC2C1,18.8,0,0,18.8
C1CCC2CCCCC2C1,18,0,0,18
CCCCCCCCCC,15.7,0,0,15.7
CCCCCCCCCCO,16,4.7,10,19.44453651
CCCCCCCCC(C)O,15.8,3.9,10,19.10104709
C=CCCCCCCCC,15.8,1,2.2,15.98374174
CCCCOC(=O)C=CC(=O)OCCCC,16.7,3,6.7,18.24225863
Cc1ccc(S(=O)c2ccc(C)cc2)cc1,20.3,11.4,3.1,23.48744345
ClCCOCCCl,18.8,9,5.7,21.60856312
CCCCC(CC)CNCC(CC)CCCC,15.6,0.8,3.2,15.94490514
CC(C)CC(O)CC(C)C,14.9,3.1,10.8,18.66172554
CC(C)CC(=O)CC(C)C,16,3.7,4.1,16.92631088
CCC(C)S(=O)C(C)CC,16.3,10.5,6.1,20.32609161
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,16.6,6.2,2.6,17.90977387
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,16.6,6.6,2.9,18.09778992
CC(C)OP(C)(=O)OC(C)C,16.4,10,5.7,20.03621721
CC(C)OP(=O)(F)OC(C)C,15.7,10.2,5.9,19.63007896
CCCCOCCCC,15.2,3.4,4.2,16.13195586
CCCCS(=O)CCCC,16.4,10.5,6.1,20.40637155
CCCCCOCCCCC,15.6,3.1,3,16.18548733
CCCOCCC,15.1,4.2,3.7,16.10403676
CCCS(=O)CCC,17,13,7.4,22.64420456
CC(=O)CC(C)(C)O,15.8,8.2,10.8,20.8211431
C=CCNCC=C,15.6,4.5,6.7,17.56416807
C=CCOCC=C,15.3,4.4,5.3,16.77915373
C=[N+]=[N-],14.7,6.1,11.3,19.51896514
COC(=O)CCC(=O)OC,16.2,4.7,8.4,18.84383188
c1ccc(COCc2ccccc2)cc1,19.6,3.4,5.2,20.56112837
O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc1ccccc1,17.8,2.2,5.5,18.75979744
BrCBr,17.8,6.4,7,20.16928358
Brc1ccccc1Br,20.7,6.5,5.3,22.33450246
CC(Br)Br,18.5,8.4,8.8,22.14158983
BrC=CBr,18,4.9,3,18.89470825
CCCCNCCCC,15,3,4.3,15.88993392
CCCCN(C=O)CCCC,15.5,8.9,6.2,18.91824516
CCCCC(=O)CCCC,16,7.7,4.4,18.29344145
CCCCOC(=O)C=CC(=O)OCCCC,16.5,6.1,7.2,19.0078931
CCCCOC(=O)c1ccccc1C(=O)OCCCC,17.8,8.6,4.1,20.18935363
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,16.7,4.5,4.1,17.77498242
ClCCCCl,18.6,8.2,3,20.54750593
CC(Cl)(Cl)[N+](=O)[O-],16.8,12.1,4.3,21.14568514
C=C(Cl)C(=C)Cl,17.1,2.3,2.8,17.47970251
CC(Cl)=CCCl,16.9,7.8,2.7,18.80797703
ClCC=CCCl,17.8,7.6,2,19.45764631
Fc1c(Cl)cccc1Cl,19.4,9.1,2.7,21.59768506
OC(CCl)CCl,17.5,9.9,14.6,24.84793754
O=[N+]([O-])c1ccc(Cl)c(F)c1Cl,19.9,7.2,4.2,21.57521726
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)cc1Cl,19.9,7.6,3.7,21.6208233
O=CC(Cl)Cl,16.7,9.1,7.5,20.44382547
O=C(O)C(Cl)Cl,18.2,8.1,12.2,23.36000856
CC(=O)C(Cl)Cl,17.1,7.6,5.4,19.47639597
N#CC(Cl)Cl,17.4,9.4,6.4,20.7865341
Nc1ccc(Cl)cc1Cl,20.9,6.2,10,23.98436991
COc1c(Cl)cccc1Cl,19.8,8.4,6.5,22.46886735
O=Cc1ccc(Cl)cc1Cl,19.7,8.8,5.4,22.24162764
Clc1ccccc1Cl,19.2,6.3,3.3,20.47486264
Clc1ccc(Cl)cc1,19.7,5.6,2.7,20.65768622
Clc1cccc(Cl)c1,19.7,5.1,2.7,20.52778605
FC(F)(F)c1cc(Cl)ccc1Cl,20,4.7,2.4,20.68453529
ClCCCCCl,18.3,7.7,2.8,20.0504364
FC(F)(Cl)Cl,12.3,2,0,12.46154084
CC(Cl)Cl,16.5,7.8,3,18.49567517
C=C(Cl)Cl,16.4,5.2,2.4,17.3712406
ClC=CCl,17,8,3.2,19.05885621
ClCCNCCCl,16.8,7.6,7.7,19.98224212
COC(Cl)Cl,17.1,12.9,6.5,22.38459292
FC(Cl)Cl,15.8,3.1,5.7,17.08039812
O=[N+]([O-])c1cccc(Cl)c1Cl,19.7,12.6,4.4,23.79516758
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,20.1,7.2,4.1,21.74074516
O=[N+]([O-])c1ccc(Cl)cc1Cl,20.4,8.7,4.2,22.57188517
ClCCCCCCl,19,7.8,1.5,20.59344556
Oc1cc(Cl)ccc1Cl,20,6.3,12.1,24.20950227
