SMILES,delta_d,delta_p,delta_h,canon_SMILES
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,16.7,4.5,4.1,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
C(CCl)CCl,18.6,8.2,3,ClCCCCl
CC([N+](=O)[O-])(Cl)Cl,16.8,12.1,4.3,CC(Cl)(Cl)[N+](=O)[O-]
C=C(C(=C)Cl)Cl,17.1,2.3,2.8,C=C(Cl)C(=C)Cl
CC(=CCCl)Cl,16.9,7.8,2.7,CC(Cl)=CCCl
C(C=CCCl)Cl,17.8,7.6,2,ClCC=CCCl
C1=CC(=C(C(=C1)Cl)F)Cl,19.4,9.1,2.7,Fc1c(Cl)cccc1Cl
C(C(CCl)O)Cl,17.5,9.9,14.6,OC(CCl)CCl
C1=CC(=C(C(=C1[N+](=O)[O-])Cl)F)Cl,19.9,7.2,4.2,O=[N+]([O-])c1ccc(Cl)c(F)c1Cl
C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)C(F)(F)F,19.9,7.6,3.7,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)cc1Cl
C(=O)C(Cl)Cl,16.7,9.1,7.5,O=CC(Cl)Cl
C(C(=O)O)(Cl)Cl,18.2,8.1,12.2,O=C(O)C(Cl)Cl
CC(=O)C(Cl)Cl,17.1,7.6,5.4,CC(=O)C(Cl)Cl
C(#N)C(Cl)Cl,17.4,9.4,6.4,N#CC(Cl)Cl
C1=CC(=C(C=C1Cl)Cl)N,20.9,6.2,10,Nc1ccc(Cl)cc1Cl
COC1=C(C=CC=C1Cl)Cl,19.8,8.4,6.5,COc1c(Cl)cccc1Cl
C1=CC(=C(C=C1Cl)Cl)C=O,19.7,8.8,5.4,O=Cc1ccc(Cl)cc1Cl
C1=CC=C(C(=C1)Cl)Cl,19.2,6.3,3.3,Clc1ccccc1Cl
C1=CC(=CC=C1Cl)Cl,19.7,5.6,2.7,Clc1ccc(Cl)cc1
C1=CC(=CC(=C1)Cl)Cl,19.7,5.1,2.7,Clc1cccc(Cl)c1
C1=CC(=C(C=C1Cl)C(F)(F)F)Cl,20,4.7,2.4,FC(F)(F)c1cc(Cl)ccc1Cl
C(CCCl)CCl,18.3,7.7,2.8,ClCCCCCl
C(F)(F)(Cl)Cl,12.3,2,0,FC(F)(Cl)Cl
CC(Cl)Cl,16.5,7.8,3,CC(Cl)Cl
C=C(Cl)Cl,16.4,5.2,2.4,C=C(Cl)Cl
C(=CCl)Cl,17,8,3.2,ClC=CCl
C(CCl)NCCCl,16.8,7.6,7.7,ClCCNCCCl
COC(Cl)Cl,17.1,12.9,6.5,COC(Cl)Cl
C(F)(Cl)Cl,15.8,3.1,5.7,FC(Cl)Cl
C1=CC(=C(C(=C1)Cl)Cl)[N+](=O)[O-],19.7,12.6,4.4,O=[N+]([O-])c1cccc(Cl)c1Cl
C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,20.1,7.2,4.1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-],20.4,8.7,4.2,O=[N+]([O-])c1ccc(Cl)cc1Cl
C(CCCl)CCCl,19,7.8,1.5,ClCCCCCCl
C1=CC(=C(C=C1Cl)O)Cl,20,6.3,12.1,Oc1cc(Cl)ccc1Cl
C1=CC(=C(C(=C1)Cl)O)Cl,20.1,7.5,10.9,Oc1c(Cl)cccc1Cl
C1=CC(=C(C=C1Cl)Cl)O,20,7.2,13.1,Oc1ccc(Cl)cc1Cl
C1=CC(=C(C=C1CC#N)Cl)Cl,20.5,10.8,4.4,N#CCc1ccc(Cl)c(Cl)c1
CCC(Cl)Cl,16.1,7.8,3.5,CCC(Cl)Cl
C(C(CCl)Cl)O,17.5,9.2,14.6,OCC(Cl)CCl
C=C(CCl)Cl,16.2,7.8,3,C=C(Cl)CCl
CC=C(Cl)Cl,16.9,6.7,2.9,CC=C(Cl)Cl
CC(=CCl)Cl,17,8.5,2.9,CC(Cl)=CCl
C(C(F)(F)Cl)(F)(F)Cl,12.6,1.8,0,FC(F)(Cl)C(F)(F)Cl
CC1=CC(=C(C=C1)Cl)Cl,19.8,9.8,2.5,Cc1ccc(Cl)c(Cl)c1
CCOC(=CCl)Cl,16.9,10.5,6,CCOC(Cl)=CCl
C(CO)NCCO,17.2,10.8,21.2,OCCNCCO
CCOC(C)OCC,15,3.4,4,CCOC(C)OCC
CCOC(C)OCC,15.2,5.4,5.3,CCOC(C)OCC
CCOC1CCC(O1)OCC,16.6,6.4,7.3,CCOC1CCC(OCC)O1
CCN(CC)C(=O)C,16.4,11.3,7.5,CCN(CC)C(C)=O
CCNCC,14.9,2.3,6.1,CCNCC
CCNCC,16,20.3,18.4,CCNCC
CCC1=CC=C(C=C1)CC,18,0,0.6,CCc1ccc(CC)cc1
CCC1=CC=CC=C1CC,17.7,0.1,1,CCc1ccccc1CC
CCOC(=O)OCC,15.1,6.3,3.5,CCOC(=O)OCC
CCN(CC)CCO,16,20.3,18.4,CCN(CC)CCO
CCOCC,14.5,2.9,5.1,CCOCC
CCN(CC)C=O,16.4,11.4,9.2,CCN(C=O)CC
CCC(=O)CC,15.8,7.6,4.7,CCC(=O)CC
CCOC(=O)CC(=O)OCC,16.1,7.7,8.3,CCOC(=O)CC(=O)OCC
CCOC(=O)C(=O)OCC,16.2,8,8.8,CCOC(=O)C(=O)OCC
CCOC(=O)C1=CC=CC=C1C(=O)OCC,17.6,9.6,4.5,CCOC(=O)c1ccccc1C(=O)OCC
CCOS(=O)(=O)OCC,15.7,14.7,7.1,CCOS(=O)(=O)OCC
CCSCC,16.8,3.1,2,CCSCC
CCN(CC)CCO,14.9,5.8,12,CCN(CC)CCO
CCSSCC,16.7,6.7,5.7,CCSSCC
C(COCCO)O,16.6,12,20.7,OCCOCCO
CCCCOCCOCCOC(=O)C,16,4.1,8.2,CCCCOCCOCCOC(C)=O
CCOCCOCCOCC,15.8,5.9,5.6,CCOCCOCCOCC
C=COCCOCCOC=C,16,7.3,7.9,C=COCCOCCOC=C
CCCCCCOCCOCCO,16,6,10,CCCCCCOCCOCCO
CCCCOCCOCCO,16,7,10.6,CCCCOCCOCCO
CCOCCOCCO,16.1,9.2,12.2,CCOCCOCCO
CCOCCOCCOC(=O)C,16.2,5.1,9.2,CCOCCOCCOC(C)=O
COCCOCCO,16.2,7.8,12.6,COCCOCCO
CCCOCCOCCO,16,7.2,11.3,CCCOCCOCCO
C(CNCCN)N,16.7,13.3,14.3,NCCNCCN
C1=CC=C(C(=C1)F)F,18,9,1,Fc1ccccc1F
C1=CC(=C(C(=C1)F)C#N)F,18.8,11.2,3.2,N#Cc1c(F)cccc1F
C1=C(C=C(C=C1F)F)C#N,18.8,11.2,3.2,N#Cc1cc(F)cc(F)c1
CC(F)F,14.9,10.2,3,CC(F)F
C=C(F)F,15,6.8,3.6,C=C(F)F
C1=CC(=C(C=C1F)F)[N+](=O)[O-],19.4,11,3.7,O=[N+]([O-])c1ccc(F)cc1F
CCCCCCOCCCCCC,16,3,2.8,CCCCCCOCCCCCC
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,17,7.6,3.6,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
C1CC=COC1,17.5,5.5,5.7,C1=COCCC1
C1=CC(=CC=C1O)O,21,10.2,27.2,Oc1ccc(O)cc1
C1=CC=C(C(=C1)O)O,20,11.3,21.8,Oc1ccccc1O
CC(C)COC(=O)CCCCC(=O)OCC(C)C,16.7,2.5,6.2,CC(C)COC(=O)CCCCC(=O)OCC(C)C
CC(C)NC(C)C,14.8,1.7,3.5,CC(C)NC(C)C
C=C1CC(=O)O1,16.2,15.1,8.1,C=C1CC(=O)O1
CC(CCOC)OC,15.6,5.5,5.2,COCCC(C)OC
CC(OC)OC,15.1,4.9,4.9,COC(C)OC
COC1=C(C(=CC=C1)OC)O,19.3,7.6,13.7,COc1cccc(OC)c1O
COC1=CC=CC=C1OC,19.2,4.4,9.4,COc1ccccc1OC
COC1CCC(O1)OC,16.8,7.2,8.2,COC1CCC(OC)O1
CC(=O)N(C)C,16.8,11.5,10.2,CC(=O)N(C)C
CC#CC,15.1,3.4,7.6,CC#CC
CNC,15.3,4.8,11.2,CNC
COC(=O)OC,15.5,3.9,9.7,COC(=O)OC
COCCOC,15.4,6,6,COCCOC
CC(=O)C(=O)C,15.7,5.3,11.7,CC(=O)C(C)=O
CN(C)CCO,16.1,9.2,15.3,CN(C)CCO
CN(C)CCO,16.8,19.8,19.8,CN(C)CCO
CN(C)CCO,17.2,21.5,22.5,CN(C)CCO
CN(C)CCO,17.2,18.8,17.6,CN(C)CCO
CN(C)CCO,17.2,21.5,22.5,CN(C)CCO
CN(C)CCO,17.2,21.5,22.5,CN(C)CCO
COC,15.2,6.1,5.7,COC
CN(C)C=O,17.4,13.7,11.3,CN(C)C=O
CN(C)N,15.3,5.9,11,CN(C)N
COC(=O)C=CC(=O)OC,16.3,8.3,9.8,COC(=O)C=CC(=O)OC
COP(=O)(C)OC,16.7,13.1,7.5,COP(C)(=O)OC
CC1=C(C(=CC=C1)C)O,19.1,4.9,12.9,Cc1cccc(C)c1O
CC1=C(C=C(C=C1)O)C,19.2,6,13.4,Cc1ccc(O)cc1C
COC(=O)C1=CC=CC=C1C(=O)OC,18.6,10.8,4.9,COC(=O)c1ccccc1C(=O)OC
CC1=CC=C(N1)C,18.3,7.6,6.8,Cc1ccc(C)[nH]1
COC(=O)CCCCCCCCC(=O)OC,16.6,2.9,6.7,COC(=O)CCCCCCCCC(=O)OC
COS(=O)(=O)OC,17.7,17,9.7,COS(=O)(=O)OC
CS(=O)(=O)C,19,19.4,12.3,CS(C)(=O)=O
CS(=O)C,18.4,16.4,10.2,CS(C)=O
CC(C)C(=C)C,14.9,1.2,2.8,C=C(C)C(C)C
CC(C)(C)CO,15.6,6.5,13.5,CC(C)(C)CO
CC1=CC(=C(C=C1)N)C,19.2,5.2,8.7,Cc1ccc(N)c(C)c1
C1=C(C=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],19.5,12.9,14.4,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],20.6,22.7,5.4,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
C1=CC(=C(C=C1O)[N+](=O)[O-])[N+](=O)[O-],19.5,12.8,14.3,O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-]
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],20,13.1,4.9,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,16.7,2,5.1,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC
CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,16.6,7,3.1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
C1COCCO1,19,1.8,7.4,C1COCCO1
C1COCO1,18.1,6.6,9.3,C1COCO1
CC1=CCC(CC1)C(=C)C,17.2,1.8,4.3,C=C(C)C1CC=C(C)CC1
C1=CC=C(C=C1)C#CC2=CC=CC=C2,20.1,0,3.2,C(#Cc1ccccc1)c1ccccc1
C1=CC=C(C=C1)OC2=CC=CC=C2,19.5,3.4,5.8,c1ccc(Oc2ccccc2)cc1
C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2,21.1,14.4,3.4,O=S(=O)(c1ccccc1)c1ccccc1
C1=CC=C(C=C1)NC2=CC=CC=C2,20,3.3,5.9,c1ccc(Nc2ccccc2)cc1
C1=CC=C(C=C1)CC2=CC=CC=C2,19.5,1,1,c1ccc(Cc2ccccc2)cc1
CCCNCCC,15.3,1.4,4.1,CCCNCCC
CCCC(=O)CCC,15.8,5.7,4.9,CCCC(=O)CCC
CC(CO)OCC(C)OC,15.5,5.7,11.2,COC(C)COC(C)CO
CC(COC)OCC(C)OC(=O)C,16.3,4.9,8,COCC(C)OCC(C)OC(C)=O
CSSC,17.3,7.8,6.5,CSSC
CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC,16.6,5.4,1.9,CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC
C=CC1=CC=C(C=C1)C=C,18.6,1,7,C=Cc1ccc(C=C)cc1
CCCCCCCCCCCC,16,0,0,CCCCCCCCCCCC
CCCCCCCCCCCCO,16,4,9.3,CCCCCCCCCCCCO
C1=CC(=C(C=C1CCN)O)O,18.2,10.3,19.5,NCCc1ccc(O)c(O)c1
CC(CC1=CC2=C(C=C1)OCO2)NC,18,5.1,6.1,CNC(C)Cc1ccc2c(c1)OCO2
CCCCCCCCCCCCCCCCCCCC,16.5,0,0,CCCCCCCCCCCCCCCCCCCC
C1C(O1)CCl,18.9,7.6,6.6,ClCC1CO1
CCC1CO1,15.6,8,4.6,CCC1CO1
C=CC1CO1,16.6,7.7,7.4,C=CC1CO1
C1CCC(=O)NCC1,19.4,13.8,3.9,O=C1CCCCCN1
C(CS)S,17.9,7.2,8.7,SCCS
CCS(=O)(=O)Cl,17.7,14.9,6.8,CCS(=O)(=O)Cl
CCS,15.7,6.5,7.1,CCS
CCO,15.8,8.8,19.4,CCO
C(CO)N,17,15.5,21.2,NCCO
C(CO)N,17.2,20.3,18.4,NCCO
CCOC(=O)C,15.8,5.3,7.2,CCOC(C)=O
CCOC(=O)CC(=O)C,16.5,10.8,8.3,CCOC(=O)CC(C)=O
CCC#C,15.1,3.4,5,C#CCC
CCOC(=O)C=C,15.5,7.1,5.5,C=CC(=O)OCC
CCN,15,5.6,10.7,CCN
CCCCCC(=O)CC,16.2,4.5,4.1,CCCCCC(=O)CC
CCC1=CC=CC=C1,17.8,0.6,1.4,CCc1ccccc1
CCOC(=O)C1=CC=CC=C1,17.9,6.2,6,CCOC(=O)c1ccccc1
CCBr,16.5,8.4,2.3,CCBr
CCCCC(=O)CC,16.2,5,4.1,CCCCC(=O)CC
CCCC(=O)OCC,15.5,5.6,5,CCCC(=O)OCC
CCCCCC(=O)OCC,15.5,3.2,5.9,CCCCCC(=O)OCC
CCOC(=O)N,16.8,10.1,13,CCOC(N)=O
CC[N+]#C,15.6,15.2,5.8,C#[N+]CC
CCCl,15.7,6.1,2.9,CCCl
CCOC(=O)Cl,15.5,10,6.7,CCOC(=O)Cl
CCOC(=O)C=CC1=CC=CC=C1,18.4,8.2,4.1,CCOC(=O)C=Cc1ccccc1
CCC(=CC)C=O,16.1,8,5.5,CC=C(C=O)CC
CCOC(=O)CC#N,16.7,7.9,8.3,CCOC(=O)CC#N
CCOC(=O)C(=C)C#N,15.2,10.3,9,C=C(C#N)C(=O)OCC
CCOC#C,15.4,7.9,5.9,C#COCC
CCNC=O,17.2,10,14,CCNC=O
CCOC=O,15.5,8.4,8.4,CCOC=O
CCCCC(CC)COC(=O)C,15.8,2.9,5.1,CCCCC(CC)COC(C)=O
CCOCl,15.7,8.6,6.5,CCOCl
CCI,17.3,7.9,7.2,CCI
CCN=C=O,15.4,12,2.5,CCN=C=O
CCOC(C)C,14.8,3.5,5.1,CCOC(C)C
CCN=C=S,17.2,14.7,9,CCN=C=S
CCOC(=O)C(C)O,16,7.6,12.5,CCOC(=O)C(C)O
CCOC(=O)C(=C)C,15.8,7.2,7.5,C=C(C)C(=O)OCC
CCN1CCOCC1,17.7,5,6.6,CCN1CCOCC1
CCCCCCCCC=CCCCCCCCC(=O)OCC,14.5,3.8,3.7,CCCCCCCCC=CCCCCCCCC(=O)OCC
CCC1=CC=C(C=C1)O,19.2,5.3,12.8,CCc1ccc(O)cc1
CCC(=O)OCC,15.5,6.1,4.9,CCOC(=O)CC
CCSC#N,15.4,13.4,5.4,CCSC#N
CCC(=C)OCC,15.3,4.2,4.6,C=C(CC)OCC
CCOC=C,14.9,4.9,5.6,C=COCC
CCC(=O)C=C,15.8,11.3,4.5,C=CC(=O)CC
CCC(CC)CO,15.8,4.3,13.5,CCC(CC)CO
CCC(=C)CC,14.9,1.7,3.5,C=C(CC)CC
CCOC#CC,15.9,6.4,5.4,CC#COCC
CCC(=C)C=C,15.3,1.6,3.8,C=CC(=C)CC
CCN1CCCC1=O,18,12,7,CCN1CCCC1=O
CCCCC(CC)CO,15.9,3.3,11.8,CCCCC(CC)CO
C=C,15,2,3.8,C=C
C1COC(=O)O1,19.4,21.7,5.1,O=C1OCCO1
C(CCl)O,16.9,8.8,17.2,OCCCl
C(CO)C#N,17.2,18.8,17.6,N#CCCO
C(CBr)Br,19.2,3.5,8.6,BrCCBr
C(CCl)Cl,19,7.4,4.1,ClCCCl
C(CO[N+](=O)[O-])O[N+](=O)[O-],16.2,13,4.5,O=[N+]([O-])OCCO[N+](=O)[O-]
C(CO)O,17,11,26,OCCO
CCCCOCCOC(=O)C,15.3,4.5,8.8,CCCCOCCOC(C)=O
CCCCOCCOCC,15.3,4.9,4.6,CCCCOCCOCC
CC(=O)OCCOC(=O)C,16.2,4.7,9.8,CC(=O)OCCOC(C)=O
CCCCOCCOCCCC,15.7,4.5,4.2,CCCCOCCOCCCC
CCOCCOCC,15.4,5.4,5.2,CCOCCOCC
COCCOC,15.4,6.3,6,COCCOC
C1=CC=C(C=C1)COCCO,17.8,5.9,12.2,OCCOCc1ccccc1
CCOCCOC(=O)C=C,15.9,5.1,9.3,C=CC(=O)OCCOCC
CCCCCCOCCO,16,5,11.4,CCCCCCOCCO
CCCOCCO,16.1,8.7,13.5,CCCOCCO
CC(C)(C)OCCO,15.3,6.1,10.8,CC(C)(C)OCCO
CCCCOCCO,16,5.1,12.3,CCCCOCCO
CCOCCO,16.2,9.2,14.3,CCOCCO
CCOCCOC(=O)C,15.9,4.7,10.6,CCOCCOC(C)=O
CC(C)COCCO,15.2,4.9,9.6,CC(C)COCCO
CC(C)OCCO,16,8.2,13.1,CC(C)OCCO
COCCO,16.2,9.2,16.4,COCCO
CC(=O)OCCOC,15.9,5.5,11.6,COCCOC(C)=O
C1=CC=C(C=C1)OCCO,17,7.2,12.3,OCCOc1ccccc1
CS(=O)(=O)OCCOS(=O)(=O)C,16.9,9.3,9.6,CS(=O)(=O)OCCOS(C)(=O)=O
C1CO1,15.6,10,11,C1CO1
C1CS1,19.3,9,6.5,C1CS1
C(CN)N,16.6,8.8,17,NCCN
C1CN1,18.6,9.8,7.7,C1CN1
CCCCC(CC)CN,15.7,4.2,6.1,CCCCC(CC)CN
CC=CC(=O)C,16.2,12.1,4.5,CC=CC(C)=O
COC1=C(C=CC(=C1)CC=C)O,19,7.5,13,C=CCc1ccc(O)c(OC)c1
COC1=C(C=CC(=C1)C=CC(=O)O)O,19,6.6,15.1,COc1cc(C=CC(=O)O)ccc1O
C1C2=CC=CC=C2C3=CC=CC=C31,20,1.7,1.7,c1ccc2c(c1)Cc1ccccc1-2
C1=CC(=C(C=C1F)C=O)Cl,19.4,7.2,3.7,O=Cc1cc(F)ccc1Cl
COC1=CC=C(C=C1)F,18.7,7.3,6.7,COc1ccc(F)cc1
C1=CC=C(C=C1)F,18.7,6.1,2,Fc1ccccc1
C=CF,15.2,7,1,C=CF
CF,13.4,10.6,9.5,CF
C=CC(=C)F,14.2,5.8,1,C=CC(=C)F
CCC(=O)C1=CC=C(C=C1)F,19.6,7.1,3.5,CCC(=O)c1ccc(F)cc1
C=O,12.8,14.4,15.4,C=O
C(=O)N,17.2,26.2,19,NC=O
C(=O)O,14.3,11.9,16.6,O=CO
C(=O)F,15,10.1,8.6,O=CF
C1CCCN(CC1)C=O,18.5,10.4,7.6,O=CN1CCCCCC1
C1CCN(CC1)C=O,18.7,10.6,7.8,O=CN1CCCCC1
C(=CC#N)C#N,16.7,13.6,7.8,N#CC=CC#N
C1=COC=C1,17.8,1.8,5.3,c1ccoc1
C1=COC(=C1)C=O,18.6,14.9,5.1,O=Cc1ccco1
C1=COC(=C1)CO,17.4,7.6,15.1,OCc1ccco1
C1=COC(=C1)C#N,18.4,15,8.2,N#Cc1ccco1
C(C(CO)O)O,17.4,12.1,29.3,OCC(O)CO
C1C(O1)C=O,17.5,13.4,9.8,O=CC1CO1
C1C(O1)CO,18.2,9,17.9,OCC1CO1
CC(=C)C(=O)OCC1CO1,16.3,8.5,5.7,C=C(C)C(=O)OCC1CO1
C(=O)C=O,15,17,13.3,O=CC=O
CCCCCCC,15.3,0,0,CCCCCCC
CCCCCCCO,16,5.3,11.7,CCCCCCCO
CCCCCC(C)O,15.7,5.4,11.7,CCCCCC(C)O
CCCCC(CC)O,15.9,5.4,11.7,CCCCC(O)CC
CCCCCC=C,15,1.1,2.6,C=CCCCCC
CCCCCCCOC(=O)C,15.8,2.9,5.5,CCCCCCCOC(C)=O
C(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,18.3,0,0,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,21.9,2.1,0,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,22,4.7,0,ClC(Cl)(Cl)C(Cl)(Cl)Cl
CCCCCCCCCCCCCCCC,16.3,0,0,CCCCCCCCCCCCCCCC
C(=C(F)F)(C(=C(F)F)F)F,13.8,0,0,FC(F)=C(F)C(F)=C(F)F
C(C(F)(F)F)(C(F)(F)F)O,17.2,4.5,14.7,OC(C(F)(F)F)C(F)(F)F
C1(=C(C(=C(C(=C1F)F)F)F)F)F,16.9,0,0,Fc1c(F)c(F)c(F)c(F)c1F
CC1=C(C(=C(C(=C1C)C)C)C)C,19.2,1.6,0,Cc1c(C)c(C)c(C)c(C)c1C
C1N2CN3CN1CN(C2)C3,19.4,11.6,13.8,C1N2CN3CN1CN(C2)C3
CN(C)P(=O)(N(C)C)N(C)C,18.5,8.6,11.3,CN(C)P(=O)(N(C)C)N(C)C
CCCCCC=O,15.8,8.5,5.4,CCCCCC=O
CCCCCC,14.9,0,0,CCCCCC
CCCCCC(=O)O,15,4.1,9.4,CCCCCC(=O)O
CCCCCCO,15.9,5.8,12.5,CCCCCCO
CCCCC=C,14.7,1.1,0,C=CCCCC
CCCCCCOC(=O)C,15.8,2.9,5.9,CCCCCCOC(C)=O
CC(CC(C)(C)O)O,15.7,8.4,17.8,CC(O)CC(C)(C)O
CC(=O)OCCCCCCOC(=O)C,15.3,4.5,7.2,CC(=O)OCCCCCCOC(C)=O
NN,14.2,8.3,8.9,NN
C#N,12.3,17.6,9,C#N
OO,15.5,12.2,42.7,OO
C1=CC(=CC=C1C=O)O,19.4,15.2,14.5,O=Cc1ccc(O)cc1
C1=CC(=CC=C1C=CC(=O)O)O,19.1,6.7,15.9,O=C(O)C=Cc1ccc(O)cc1
C1COCC1O,18.9,9.4,16.3,OC1CCOC1
C=CC(=O)OCCO,16,13.2,13.4,C=CC(=O)OCCO
C1CC(=O)N(C1)CCO,18,9.2,15.7,O=C1CCCN1CCO
C1C=CC2=CC=CC=C21,18.7,2.6,9,C1=Cc2ccccc2C1
C1=CC=C2C(=C1)C=CN2,19.8,7.5,6.5,c1ccc2[nH]ccc2c1
C=C=CCI,17.4,6.3,6.2,C=C=CCI
C1=CC=C(C=C1)I,19.5,6,6.1,Ic1ccccc1
C(I)(I)I,20.2,3.6,10.6,IC(I)I
C=CC(=C)I,17.2,2.5,6.2,C=CC(=C)I
CC(C)CCOC(=O)C,15.3,3.1,7,CC(=O)OCCC(C)C
CC(C)CCO,15.8,5.2,13.3,CC(C)CCO
CCC(=O)OCCC(C)C,15.7,5.2,5.6,CCC(=O)OCCC(C)C
CC(C)COC(=O)C,15.1,3.7,6.3,CC(=O)OCC(C)C
CC(C)COC(=O)C=C,15.5,6.2,5,C=CC(=O)OCC(C)C
CC(C)CO,15.1,5.7,15.9,CC(C)CO
CC(C)COC=O,15.5,6.5,6.7,CC(C)COC=O
CC(C)COC(=O)C(C)C,15.1,2.9,5.9,CC(C)COC(=O)C(C)C
CC(C)CS(=O)CC(C)C,16.3,10.5,6.1,CC(C)CS(=O)CC(C)C
CC(=C)C,14.5,2,1.5,C=C(C)C
CC1(CO1)C,16.1,4.8,5.8,CC1(C)CO1
CC(C)C(=O)O,16.5,5.4,11.1,CC(C)C(=O)O
C(=N)=O,15.8,10.5,13.6,N=C=O
CC(C)CCCCCO,14.4,7.3,12.9,CC(C)CCCCCO
CCC(C)C,13.7,0,0,CCC(C)C
CC1=CC(=O)CC(C1)(C)C,16.6,8.2,7.4,CC1=CC(=O)CC(C)(C)C1
CC(=C)C=C,14.7,1.4,4.1,C=CC(=C)C
CC(C)OC(=O)C,14.9,4.5,8.2,CC(=O)OC(C)C
CC(C)N,14.8,4.4,6.6,CC(C)N
CC(C)Cl,15.9,8.3,2.1,CC(C)Cl
CC(C)OC(C)C,13.7,3.9,2.3,CC(C)OC(C)C
CCCCCCCCCCCCCCCC(=O)OC(C)C,14.3,3.9,3.7,CCCCCCCCCCCCCCCC(=O)OC(C)C
CC(C)CC=O,14.7,9.5,5,CC(C)CC=O
CC(C)CC(=O)O,16.4,4.1,10.7,CC(C)CC(=O)O
C1=CON=C1,18.8,13.4,11.2,c1cnoc1
C=C=O,15.4,7.3,5.8,C=C=O
CC(C(=O)O)O,17,8.3,28.4,CC(O)C(=O)O
CCCCCCCCCCCCOC(=O)C(=C)C,14.4,2.2,5.1,C=C(C)C(=O)OCCCCCCCCCCCC
C1=CC(=O)OC1=O,20.2,18.1,12.6,O=C1C=CC(=O)O1
C(C#N)C#N,17.7,18.4,6.7,N#CCC#N
CC1CCC2=C(C1)OC=C2C,17.2,4.6,5.6,Cc1coc2c1CCC(C)C2
CC1CCC(C(C1)O)C(C)C,16.6,4.7,10.6,CC1CCC(C(C)C)C(O)C1
CC1CCC(C(=O)C1)C(C)C,17,8.1,4.4,CC1CCC(C(C)C)C(=O)C1
CC1CCC(C(C1)OC(=O)C)C(C)C,16.8,4.7,4.9,CC(=O)OC1CC(C)CCC1C(C)C
CC(=CC(=O)C)C,16.4,6.1,6.1,CC(=O)C=C(C)C
CC1=CC(=CC(=C1)C)C,18,0,0.6,Cc1cc(C)cc(C)c1
CC(=C)C=O,15.7,11.1,7.4,C=C(C)C=O
CC(=C)C(=O)N,15.8,11,11.6,C=C(C)C(N)=O
CC(=C)C(=O)O,15.8,2.8,10.2,C=C(C)C(=O)O
CC(=C)C#N,15.8,15.1,5.4,C=C(C)C#N
CO,15.1,12.3,22.3,CO
CC(=O)C1=CC=C(C=C1)OC,18.9,11.2,7,COc1ccc(C(C)=O)cc1
COC1=CC=C(C=C1)C#N,19.4,16.7,5.4,COc1ccc(C#N)cc1
CC(CCO)OC,15.3,5.4,13.6,COC(C)CCO
COC=CC=C,15.5,8.3,5.4,C=CC=COC
COC1OCCO1,17.8,8.4,7.7,COC1OCCO1
COC1=CC=CC=C1[N+](=O)[O-],19.6,16.3,5.5,COc1ccccc1[N+](=O)[O-]
COC1=CC=CC=C1O,18,8.2,13.3,COc1ccccc1O
COCCC#N,16.6,14.4,7.8,COCCC#N
COCCCN,17.2,22.5,23.5,COCCCN
CC=CC(=O)O,16.8,5.2,12.4,CC=CC(=O)O
CC=COC,15,4.3,5.7,CC=COC
CC(=O)NC,16.9,18.7,13.9,CNC(C)=O
CC(=O)OC,15.5,7.2,7.6,COC(C)=O
CC(=O)CC(=O)OC,16.4,8.6,8.9,COC(=O)CC(C)=O
CC#C,15.1,3.8,9.2,C#CC
COC(=O)C=C,15.3,6.7,9.4,C=CC(=O)OC
CC=CCO,16,6,15.5,CC=CCO
CC(C=C)C#N,16.4,11.3,5.1,C=CC(C)C#N
CN,13,7.3,17.3,CN
